alpine_hut;A remote building located in the mountains intended to provide board and lodging.;alpine hut;
apartment;A furnished apartment or flat with cooking and bathroom facilities that can be rented for holiday vacations.;apartment;
aquarium;A facility with living aquatic animals for public viewing.;aquarium;
artwork;A public piece of art.;artwork;
attraction;Object of interest for a tourist.;attraction;
camp_pitch;An tent or caravan pitch location within a campsite or caravan site;camp pitch;
camp_site;An area where people can camp overnight using tents, camper vans or caravans.;camp site;
caravan_site;A place where you can stay in a caravan overnight or for longer periods.;caravan site;
chalet;A holiday cottage with self-contained cooking and bathroom facilities.;chalet;
gallery;An area or building that displays a variety of visual art exhibitions.;gallery;
guest_house;Accommodation without hotel license that is typically owner-operated, such as bed&breakfasts etc.;guest house;
hostel;Cheap accommodation with shared bedrooms.;hostel;
hotel;Hotel - an establishment that provides paid lodging;hotel;
information;Information for tourists and visitors, including information offices;information;
motel;Short term accommodation, particularly for people travelling by car.;motel;
museum;A museum: an institution with exhibitions on scientific, historical, cultural topics;museum;
picnic_site;A locality that is suitable for outdoors eating, with facilities to aid a picnic such as tables and benches;picnic_site;
theme_park;An amusement park where entertainment is provided by rides, games, concessions.;theme_park;
viewpoint;A place worth visiting, often high, with a good view of surrounding countryside or notable buildings.;viewpoint;
wilderness_hut;A remote building, with generally a fireplace, intended to provide temporary shelter and sleeping accommodation, typically un-serviced and with no staff;wilderness hut;
zoo;A zoological garden, where animals are confined.;zoo;